TEAM,CONF,REGION,SEED,SEED_OPP,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Kansas,B12,South,1,16,30,28,0.933333333,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8,0.91,0.91,0.986,1,0.835,0.971,0.329,0.447,0.746,0.492,0.686,0.941,0.925,0.986,0.388,0.836,0.447,1
Baylor,B12,Midwest,1,16,30,26,0.866666667,114.5,88.4,0.9513,49.4,45.2,17.8,22.7,35.8,29.8,30.8,30.8,47.5,44.4,35.1,31.1,66.2,8.5,0.895,0.82,0.971,0.985,0.194,0.851,0.612,0.925,0.955,0.895,0.283,0.493,0.059,0.836,0.567,0.717,0.238,0.985
Gonzaga,WCC,West,1,16,33,31,0.939393939,121.3,94.3,0.9472,57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,57.4,47.4,38.6,32,72,7.7,0.955,1,0.612,0.97,0.97,0.403,0.956,0.402,0.805,0.074,0.865,0.956,0.985,0.389,0.94,0.538,0.97,0.97
Dayton,A10,East,1,16,31,29,0.935483871,119.5,93.4,0.9445,59.7,46.6,18,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33,67.5,6.8,0.925,0.97,0.702,0.955,1,0.553,0.478,0.507,0.179,0.507,0.537,0.478,1,0.702,0.805,0.239,0.462,0.91
Duke,ACC,East,2,15,31,25,0.806451613,115.3,91.9,0.931,52.6,45.7,17.8,20.2,34.8,28,35.6,30.9,52.5,46,35.2,29.9,71.7,5.1,0.731,0.88,0.866,0.925,0.671,0.777,0.612,0.761,0.88,0.701,0.671,0.478,0.626,0.568,0.626,0.911,0.925,0.835
San Diego St.,MWC,West,2,15,31,30,0.967741935,113.8,92.8,0.9119,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,53,45.3,37.9,30.1,64.7,6.7,0.97,0.761,0.747,0.865,0.91,0.851,0.806,0.835,0.298,0.268,0.149,0.508,0.731,0.642,0.91,0.881,0.104,0.895
Villanova,BE,Midwest,2,15,31,24,0.774193548,114,93.7,0.9045,52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,66.2,6.8,0.597,0.791,0.657,0.85,0.671,0.299,0.851,0.134,0.149,0.179,0.074,0.911,0.492,0.299,0.731,0.389,0.238,0.91
Florida St.,ACC,South,2,15,31,26,0.838709677,111.2,92.5,0.8921,51.9,47,18.9,23.7,33.5,30.2,30.1,34.4,51.5,46.6,35.1,31.7,69.9,6.9,0.865,0.611,0.777,0.716,0.567,0.478,0.299,0.97,0.791,0.91,0.268,0.209,0.492,0.478,0.567,0.612,0.82,0.955
Michigan St.,B10,East,3,14,31,22,0.709677419,114.8,91.3,0.9326,52.6,43.3,18.1,15.8,32.8,26,30.8,29.3,52.9,43.4,34.8,28.7,69.3,5.2,0.477,0.85,0.911,0.94,0.671,0.986,0.433,0.029,0.776,0.417,0.283,0.568,0.671,0.911,0.507,0.986,0.686,0.865
Creighton,BE,South,3,14,30,24,0.8,120.6,96.4,0.9289,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53,48.9,38.7,31.8,68.3,6.1,0.716,0.985,0.418,0.91,0.94,0.284,0.866,0.253,0.059,0.91,0.179,0.926,0.731,0.195,0.955,0.568,0.597,0.88
Seton Hall,BE,West,3,14,30,21,0.7,112.2,93.5,0.8913,51.4,45.7,18.6,19.5,29.1,30.4,34.8,32.4,52.3,44.4,33.5,32,69.8,4.6,0.417,0.671,0.672,0.701,0.402,0.777,0.344,0.626,0.358,0.94,0.611,0.329,0.582,0.836,0.328,0.538,0.805,0.791
Maryland,B10,Midwest,4,14,31,24,0.774193548,112.6,94.7,0.8797,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,67.1,6.8,0.597,0.686,0.538,0.641,0.119,0.702,0.777,0.194,0.597,0.507,0.85,0.881,0.328,0.792,0.119,0.389,0.388,0.91
Kentucky,SEC,Midwest,3,14,31,25,0.806451613,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1,0.731,0.731,0.493,0.626,0.343,0.821,0.433,0.194,0.552,0.746,0.955,0.344,0.388,0.747,0.417,0.777,0.492,0.835
Louisville,ACC,West,4,13,31,24,0.774193548,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3,0.597,0.865,0.642,0.88,0.656,0.881,0.478,0.223,0.656,0.208,0.432,0.612,0.328,0.702,0.895,0.881,0.358,0.761
Oregon,P12,East,4,13,31,24,0.774193548,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7,0.597,0.94,0.359,0.746,0.88,0.433,0.657,0.686,0.761,0.97,0.194,0.538,0.477,0.538,0.985,0.329,0.149,0.82
Wisconsin,B10,South,4,13,31,21,0.677419355,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2,0.313,0.552,0.821,0.731,0.283,0.657,0.926,0.134,0.089,0.373,0.074,0.851,0.134,0.747,0.626,0.195,0.044,0.746
Ohio St.,B10,East,5,12,31,21,0.677419355,114.6,92.6,0.92,52.3,46.2,19.1,18.3,31.1,25.5,36.7,29.3,49.7,44.2,37.3,32.7,66.2,3.8,0.313,0.835,0.762,0.895,0.626,0.687,0.269,0.388,0.567,0.328,0.791,0.568,0.298,0.866,0.835,0.299,0.238,0.716
West Virginia,B12,South,5,12,31,21,0.677419355,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3,0.313,0.313,0.956,0.776,0,0.941,0.045,0.895,1,0.626,0.925,0.09,0.089,0.627,0,0.956,0.686,0.671
Butler,BE,West,5,12,31,22,0.709677419,112.7,94.6,0.8817,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33,63.7,4.5,0.477,0.716,0.553,0.671,0.626,0.732,0.672,0.313,0.402,0.268,0.223,0.478,0.671,0.896,0.388,0.239,0.074,0.776
Auburn,SEC,Midwest,5,12,31,25,0.806451613,111.1,96.1,0.8415,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6,0.731,0.597,0.433,0.477,0.268,0.448,0.553,0.492,0.925,0.582,0.97,0.239,0.791,0.538,0.059,0.389,0.686,0.791
Penn St.,B10,South,6,11,31,21,0.677419355,111.4,91.9,0.9019,49.5,46.4,15.8,18.6,29.2,27.6,31,31.8,50,45.2,32.5,32.5,70.9,3.4,0.313,0.626,0.866,0.791,0.208,0.657,0.881,0.447,0.373,0.626,0.343,0.374,0.313,0.672,0.238,0.389,0.91,0.701
BYU,WCC,West,6,11,31,24,0.774193548,115.9,96,0.8973,58.1,49,15.5,18.2,20.6,24.1,23.4,27.9,54.8,50.8,41.9,30.3,69.4,2.7,0.597,0.895,0.463,0.761,0.985,0.239,0.911,0.358,0,0.149,0.014,0.687,0.91,0.06,1,0.851,0.746,0.597
Iowa,B10,Midwest,6,11,31,20,0.64516129,117.2,99.7,0.8653,51.6,49.4,17.1,17.6,32,29.5,34.4,26.8,51.3,50.3,34.7,32.1,70.1,3.3,0.208,0.925,0.209,0.582,0.432,0.165,0.717,0.253,0.656,0.865,0.582,0.747,0.462,0.105,0.477,0.508,0.85,0.671
