tournament,season
Abilene Christian,Abilene Christian
Alabama,Alabama
Albany,Albany
Arizona,Arizona
Arizona St,Arizona St.
Arkansas,Arkansas
Arkansas Little Rock,Arkansas Little Rock
Auburn,Auburn
Austin Peay,Austin Peay
Baylor,Baylor
Belmont,Belmont
Bradley,Bradley
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Cal St Bakersfield,Cal St. Bakersfield
Cal St Fullerton,Cal St. Fullerton
California,California
Chattanooga,Chattanooga
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Carolina
Colgate,Colgate
College of Charleston,College of Charleston
Colorado,Colorado
Connecticut,Connecticut
Creighton,Creighton
Davidson,Davidson
Dayton,Dayton
Duke,Duke
East Tennessee St,East Tennessee St.
Eastern Washington,Eastern Washington
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida Gulf Coast,Florida Gulf Coast
Florida St,Florida St.
Fresno St,Fresno St.
Gardner Webb,Gardner Webb
Georgetown,Georgetown
Georgia,Georgia
Georgia St,Georgia St.
Gonzaga,Gonzaga
Wisconsin Green Bay,Green Bay
Hampton,Hampton
Harvard,Harvard
Hawaii,Hawaii
Holy Cross,Holy Cross
Houston,Houston
Indiana,Indiana
Iona,Iona
Iowa,Iowa
Iowa St,Iowa St.
Jacksonville St,Jacksonville St.
Kansas,Kansas
Kansas St,Kansas St.
Kent St,Kent St.
Kentucky,Kentucky
Lafayette,Lafayette
Liberty,Liberty
Lipscomb,Lipscomb
Louisville,Louisville
Loyola Chicago,Loyola Chicago
LSU,LSU
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Miami,Miami FL
Michigan,Michigan
Michigan St,Michigan St.
Middle Tennessee St,Middle Tennessee
Minnesota,Minnesota
Ole Miss,Mississippi
Mississippi St,Mississippi St.
Missouri,Missouri
Montana,Montana
Mount St Marys,Mount St. Mary's
Murray St,Murray St.
Nevada,Nevada
New Mexico St,New Mexico St.
North Carolina,North Carolina
NC State,North Carolina St.
North Dakota,North Dakota
North Dakota St,North Dakota St.
Northeastern,Northeastern
Northern Iowa,Northern Iowa
Northern Kentucky,Northern Kentucky
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio St,Ohio St.
Oklahoma,Oklahoma
Oklahoma St,Oklahoma St.
Old Dominion,Old Dominion
Oregon,Oregon
Oregon St,Oregon St.
Pennsylvania,Penn
Pittsburgh,Pittsburgh
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Radford,Radford
Rhode Island,Rhode Island
Robert Morris,Robert Morris
St Josephs,Saint Joseph's
St Louis,Saint Louis
St Marys,Saint Mary's
San Diego St,San Diego St.
Seton Hall,Seton Hall
SMU,SMU
South Carolina,South Carolina
South Dakota St,South Dakota St.
St Bonaventure,St. Bonaventure
St Johns,St. John's
Stephen F Austin,Stephen F. Austin
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas Southern,Texas Southern
Texas Tech,Texas Tech
Troy,Troy
UAB,UAB
UC Davis,UC Davis
UC Irvine,UC Irvine
Cal Irvine,UC Irvine
Central Florida,UCF
UCLA,UCLA
UMBC,UMBC
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
USC,USC
Utah,Utah
Utah St,Utah St.
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
Washington,Washington
Weber St,Weber St.
West Virginia,West Virginia
Wichita St,Wichita St.
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St,Wright St.
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
UNLV,UNLV
Tulsa,Tulsa
Georgia Tech,Georgia Tech
Illinois,Illinois
Loyola Illinois,Loyola Illinois
Memphis,Memphis
Louisiana Tech,Louisiana Tech
Navy,Navy
Western Kentucky,Western Kentucky
Jacksonville,Jacksonville
Cleveland St,Cleveland St
UTEP,UTEP
DePaul,DePaul
New Orleans,New Orleans
Southwest Missouri St,Southwest Missouri St
BYU,BYU
Richmond,Richmond
