TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Wisconsin,B10,2015,2ND,1,40,36,0.9,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,0.952,1,0.604,0.968,0.825,0.334,1,0.047,0.38,0.015,0.317,1,0.92,0.524,0.603,0.032,0.047,0.968
Duke,ACC,2015,Champions,1,39,35,0.897435897,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,0.936,0.968,0.874,0.984,0.968,0.508,0.81,0.412,0.841,0.444,0.65,0.985,0.952,0.35,0.857,0.778,0.682,0.952
Louisville,ACC,2015,E8,4,36,27,0.75,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,0.714,0.365,0.953,0.777,0.079,0.921,0.604,0.841,0.666,0.587,0.555,0.524,0.396,0.731,0.015,0.937,0.619,0.809
Notre Dame,ACC,2015,E8,3,38,32,0.842105263,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,0.857,0.984,0.254,0.857,1,0.302,0.969,0.238,0.111,0.841,0.412,0.953,1,0.223,0.904,0.604,0.333,0.888
Arizona,P12,2015,E8,2,38,34,0.894736842,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,0.92,0.857,0.969,0.952,0.746,0.778,0.747,0.761,0.619,0,0.968,0.223,0.809,0.81,0.539,0.429,0.73,0.904
Gonzaga,WCC,2015,E8,2,37,34,0.918918919,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,0.984,0.92,0.667,0.873,0.984,0.874,0.826,0.19,0.523,0.222,0.555,0.699,0.984,0.937,0.952,0.54,0.571,0.873
Michigan St.,B10,2015,F4,7,39,27,0.692307692,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,0.476,0.809,0.747,0.825,0.714,0.794,0.556,0.079,0.46,0.126,0.079,0.127,0.603,0.651,0.825,0.762,0.333,0.587
Kentucky,SEC,2015,F4,1,39,38,0.974358974,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,0.936,1,1,0.603,1,0.81,0.841,0.952,0.809,0.888,0.635,0.666,0.985,0.349,1,0.253,1
Dayton,A10,2015,R32,11,36,27,0.75,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,0.714,0.238,0.524,0.333,0.698,0.397,0.477,0.793,0.015,0.253,1,0.683,0.73,0.302,0.444,0.635,0.317,0.396
Virginia,ACC,2015,R32,2,34,30,0.882352941,112.1,84.1,0.9648,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,58.4,10,0.888,0.603,0.985,0.92,0.492,0.969,0.937,0.317,0.587,0.047,0.158,0.778,0.523,0.969,0.396,0.874,0,0.936
Cincinnati,Amer,2015,R32,8,34,23,0.676470588,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,0.38,0.222,0.778,0.38,0.285,0.905,0.032,0.65,0.888,0.857,0.428,0.905,0.507,0.921,0.142,0.699,0.063,0.238
Iowa,B10,2015,R32,7,34,22,0.647058824,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,0.253,0.698,0.794,0.73,0.111,0.667,0.635,0.492,0.793,0.476,0.507,0.762,0.19,0.667,0.19,0.604,0.46,0.539
Maryland,B10,2015,R32,4,35,28,0.8,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,0.809,0.428,0.556,0.507,0.555,0.715,0.286,0.206,0.142,0.523,0.936,0.826,0.301,0.588,0.714,0.715,0.444,0.841
Ohio St.,B10,2015,R32,10,35,24,0.685714286,113.9,93.1,0.9104,54.2,46.4,17,21.6,33.5,32,34.7,27.8,53.6,45.2,37,32.2,66.3,2.5,0.444,0.682,0.667,0.698,0.761,0.572,0.667,0.888,0.46,0.825,0.142,0.842,0.857,0.477,0.666,0.651,0.666,0.571
Kansas,B12,2015,R32,2,36,27,0.75,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,0.714,0.666,0.874,0.793,0.269,0.842,0.254,0.253,0.746,0.793,0.809,0.429,0.111,0.715,0.746,0.762,0.793,0.904
Butler,BE,2015,R32,6,34,23,0.676470588,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,0.38,0.317,0.905,0.714,0.126,0.461,0.667,0.555,0.666,0.063,0.73,0.477,0.095,0.286,0.444,0.889,0.333,0.65
Georgetown,BE,2015,R32,4,33,22,0.666666667,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,0.333,0.634,0.62,0.634,0.571,0.413,0.254,0.73,0.587,0.634,0.888,0.048,0.587,0.778,0.412,0.096,0.46,0.666
