TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Wisconsin,B10,2015,2ND,1,40,36,0.9,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,0.991,1,0.895,0.994,0.957,0.689,1,0.048,0.645,0.002,0.445,1,0.977,0.829,0.777,0.132,0.02,0.994
Duke,ACC,2015,Champions,1,39,35,0.897435897,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,0.988,0.994,0.975,0.997,0.991,0.806,0.912,0.414,0.911,0.351,0.711,0.998,0.991,0.689,0.928,0.889,0.722,0.991
Louisville,ACC,2015,E8,4,36,27,0.75,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,0.937,0.834,0.992,0.96,0.345,0.978,0.832,0.871,0.842,0.434,0.645,0.738,0.602,0.923,0.12,0.958,0.614,0.965
Notre Dame,ACC,2015,E8,3,38,32,0.842105263,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,0.974,0.997,0.692,0.974,1,0.675,0.995,0.214,0.208,0.651,0.502,0.989,1,0.56,0.945,0.775,0.328,0.98
Arizona,P12,2015,E8,2,38,34,0.894736842,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,0.985,0.971,0.995,0.991,0.914,0.932,0.892,0.768,0.817,0,0.977,0.458,0.948,0.952,0.745,0.635,0.76,0.982
Gonzaga,WCC,2015,E8,2,37,34,0.918918919,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,0.997,0.985,0.912,0.977,0.997,0.963,0.929,0.177,0.76,0.12,0.645,0.883,0.997,0.983,0.977,0.729,0.554,0.977
Michigan St.,B10,2015,F4,7,39,27,0.692307692,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,0.868,0.962,0.938,0.968,0.885,0.935,0.798,0.105,0.72,0.08,0.188,0.372,0.82,0.9,0.92,0.875,0.328,0.925
Kentucky,SEC,2015,F4,1,39,38,0.974358974,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,0.988,1,1,0.785,1,0.912,0.871,0.98,0.591,0.914,0.823,0.851,0.998,0.588,1,0.262,1
Duquesne,A10,2015,NA,NA,30,11,0.366666667,107,111.7,0.379,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,67.6,-11.3,0.242,0.76,0.058,0.377,0.768,0.2,0.68,0.065,0.588,0.785,0.177,0.695,0.734,0.546,0.757,0.058,0.857,0.331
Fordham,A10,2015,NA,NA,30,9,0.3,101,103,0.445,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.9,-12.3,0.162,0.44,0.489,0.477,0.225,0.378,0.06,0.431,0.708,0.282,0.222,0.246,0.528,0.32,0.06,0.535,0.648,0.268
