"","year","round","reg_num","reg_name","team","seed","score","team_opp","score_opp","forest","lasso","ridge","net","forest_opp","lasso_opp","ridge_opp","net_opp","tie","win_pred","win_actual"
"1",2015,"1",3,"East","Albany","14",60,"Oklahoma",69,8,5,5,5,48,54,54,54,"0","0","0"
"2",2015,"1",2,"West","Arizona","2",93,"Texas Southern",72,59,57,57,57,3,3,3,3,"0","1","1"
"3",2015,"2",2,"West","Arizona","2",73,"Ohio St.",58,59,57,57,57,46,55,55,55,"0","1","1"
"4",2015,"3",2,"West","Arizona","2",68,"Xavier",60,59,57,57,57,38,32,32,32,"0","1","1"
"5",2015,"4",2,"West","Arizona","2",78,"Wisconsin",85,59,57,57,57,61,58,58,58,"0","0","0"
"6",2015,"1",2,"West","Arkansas","5",56,"Wofford",53,38,40,40,40,14,16,16,16,"0","1","1"
"7",2015,"2",2,"West","Arkansas","5",78,"North Carolina",87,38,40,40,40,52,60,60,60,"0","0","0"
"8",2015,"1",2,"West","Baylor","3",56,"Georgia St.",57,43,56,56,56,31,26,26,26,"0","1","0"
"9",2015,"1",3,"East","Belmont","15",67,"Virginia",79,8,10,10,10,51,59,59,59,"0","0","0"
"10",2015,"1",1,"Midwest","Buffalo","12",62,"West Virginia",68,18,14,14,14,44,39,39,39,"0","0","0"
"11",2015,"1",1,"Midwest","Butler","6",56,"Texas",48,40,38,38,38,29,36,36,36,"0","1","1"
"12",2015,"2",1,"Midwest","Butler","6",64,"Notre Dame",67,40,38,38,38,57,49,49,49,"0","0","0"
"13",2015,"1",1,"Midwest","Cincinnati","8",66,"Purdue",65,44,43,43,43,28,24,24,24,"0","1","1"
"14",2015,"2",1,"Midwest","Cincinnati","8",51,"Kentucky",64,44,43,43,43,59,63,63,63,"0","0","0"
"15",2015,"1",2,"West","Coastal Carolina","16",72,"Wisconsin",86,8,1,1,1,61,58,58,58,"0","0","0"
"16",2015,"1",4,"South","Davidson","10",52,"Iowa",83,26,37,37,37,42,45,45,45,"0","0","0"
"17",2015,"1",3,"East","Dayton","11",66,"Providence",53,27,22,22,22,32,28,28,28,"0","0","1"
"18",2015,"2",3,"East","Dayton","11",66,"Oklahoma",72,27,22,22,22,48,54,54,54,"0","0","0"
"19",2015,"1",4,"South","Duke","1",85,"Robert Morris",56,63,62,62,62,6,4,4,4,"0","1","1"
"20",2015,"2",4,"South","Duke","1",68,"San Diego St.",49,63,62,62,62,46,44,44,44,"0","1","1"
"21",2015,"3",4,"South","Duke","1",63,"Utah",57,63,62,62,62,53,50,50,50,"0","1","1"
"22",2015,"4",4,"South","Duke","1",66,"Gonzaga",52,63,62,62,62,59,51,51,51,"0","1","1"
"23",2015,"5",2,"Final Four","Duke","1",81,"Michigan St.",61,63,62,62,62,53,47,47,47,"0","1","1"
"24",2015,"6",1,"Championship","Duke","1",68,"Wisconsin",63,63,62,62,62,61,58,58,58,"0","1","1"
"25",2015,"1",4,"South","Eastern Washington","13",74,"Georgetown",84,14,13,13,13,41,35,35,35,"0","0","0"
"26",2015,"1",4,"South","Georgetown","4",84,"Eastern Washington",74,41,35,35,35,14,13,13,13,"0","1","1"
"27",2015,"2",4,"South","Georgetown","4",64,"Utah",75,41,35,35,35,53,50,50,50,"0","0","0"
"28",2015,"1",3,"East","Georgia","10",63,"Michigan St.",70,27,20,20,20,53,47,47,47,"0","0","0"
"29",2015,"1",2,"West","Georgia St.","14",57,"Baylor",56,31,26,26,26,43,56,56,56,"0","0","1"
"30",2015,"2",2,"West","Georgia St.","14",67,"Xavier",75,31,26,26,26,38,32,32,32,"0","0","0"
"31",2015,"1",4,"South","Gonzaga","2",86,"North Dakota St.",76,59,51,51,51,9,2,2,2,"0","1","1"
"32",2015,"2",4,"South","Gonzaga","2",87,"Iowa",68,59,51,51,51,42,45,45,45,"0","1","1"
"33",2015,"3",4,"South","Gonzaga","2",74,"UCLA",62,59,51,51,51,30,19,19,19,"0","1","1"
"34",2015,"4",4,"South","Gonzaga","2",52,"Duke",66,59,51,51,51,63,62,62,62,"0","0","0"
"35",2015,"1",1,"Midwest","Hampton","16",56,"Kentucky",79,3,0,0,0,59,63,63,63,"0","0","0"
"36",2015,"1",2,"West","Harvard","13",65,"North Carolina",67,17,11,11,11,52,60,60,60,"0","0","0"
"37",2015,"1",1,"Midwest","Indiana","10",76,"Wichita St.",81,15,27,27,27,57,52,52,52,"0","0","0"
"38",2015,"1",4,"South","Iowa","7",83,"Davidson",52,42,45,45,45,26,37,37,37,"0","1","1"
"39",2015,"2",4,"South","Iowa","7",68,"Gonzaga",87,42,45,45,45,59,51,51,51,"0","0","0"
"40",2015,"1",4,"South","Iowa St.","3",59,"UAB",60,37,41,41,41,12,8,8,8,"0","1","0"
"41",2015,"1",1,"Midwest","Kansas","2",75,"New Mexico St.",56,46,53,53,53,14,9,9,9,"0","1","1"
"42",2015,"2",1,"Midwest","Kansas","2",65,"Wichita St.",78,46,53,53,53,57,52,52,52,"0","0","0"
"43",2015,"1",1,"Midwest","Kentucky","1",79,"Hampton",56,59,63,63,63,3,0,0,0,"0","1","1"
"44",2015,"2",1,"Midwest","Kentucky","1",64,"Cincinnati",51,59,63,63,63,44,43,43,43,"0","1","1"
"45",2015,"3",1,"Midwest","Kentucky","1",78,"West Virginia",39,59,63,63,63,44,39,39,39,"0","1","1"
"46",2015,"4",1,"Midwest","Kentucky","1",68,"Notre Dame",66,59,63,63,63,57,49,49,49,"0","1","1"
"47",2015,"5",1,"Final Four","Kentucky","1",64,"Wisconsin",71,59,63,63,63,61,58,58,58,"0","0","0"
"48",2015,"1",3,"East","Lafayette","16",52,"Villanova",93,10,15,15,15,60,61,61,61,"0","0","0"
"49",2015,"1",3,"East","Louisville","4",57,"UC Irvine",55,53,48,48,48,18,12,12,12,"0","1","1"
"50",2015,"2",3,"East","Louisville","4",66,"Northern Iowa",53,53,48,48,48,55,46,46,46,"0","0","1"
"51",2015,"3",3,"East","Louisville","4",75,"North Carolina St.",65,53,48,48,48,38,23,23,23,"0","1","1"
"52",2015,"4",3,"East","Louisville","4",70,"Michigan St.",76,53,48,48,48,53,47,47,47,"1","0","0"
"53",2015,"1",3,"East","LSU","9",65,"North Carolina St.",66,31,42,42,42,38,23,23,23,"0","0","0"
"54",2015,"1",1,"Midwest","Maryland","4",65,"Valparaiso",62,36,31,31,31,20,18,18,18,"0","1","1"
"55",2015,"2",1,"Midwest","Maryland","4",59,"West Virginia",69,36,31,31,31,44,39,39,39,"0","0","0"
"56",2015,"1",3,"East","Michigan St.","7",70,"Georgia",63,53,47,47,47,27,20,20,20,"0","1","1"
"57",2015,"2",3,"East","Michigan St.","7",60,"Virginia",54,53,47,47,47,51,59,59,59,"0","1","1"
"58",2015,"3",3,"East","Michigan St.","7",62,"Oklahoma",58,53,47,47,47,48,54,54,54,"0","1","1"
"59",2015,"4",3,"East","Michigan St.","7",76,"Louisville",70,53,47,47,47,53,48,48,48,"1","0","1"
"60",2015,"5",2,"Final Four","Michigan St.","7",61,"Duke",81,53,47,47,47,63,62,62,62,"0","0","0"
"61",2015,"1",2,"West","Mississippi","11",57,"Xavier",76,18,17,17,17,38,32,32,32,"0","0","0"
"62",2015,"1",1,"Midwest","New Mexico St.","15",56,"Kansas",75,14,9,9,9,46,53,53,53,"0","0","0"
"63",2015,"1",2,"West","North Carolina","4",67,"Harvard",65,52,60,60,60,17,11,11,11,"0","1","1"
"64",2015,"2",2,"West","North Carolina","4",87,"Arkansas",78,52,60,60,60,38,40,40,40,"0","1","1"
"65",2015,"3",2,"West","North Carolina","4",72,"Wisconsin",79,52,60,60,60,61,58,58,58,"0","0","0"
"66",2015,"1",3,"East","North Carolina St.","8",66,"LSU",65,38,23,23,23,31,42,42,42,"0","1","1"
"67",2015,"2",3,"East","North Carolina St.","8",71,"Villanova",68,38,23,23,23,60,61,61,61,"0","0","1"
"68",2015,"3",3,"East","North Carolina St.","8",65,"Louisville",75,38,23,23,23,53,48,48,48,"0","0","0"
"69",2015,"1",4,"South","North Dakota St.","15",76,"Gonzaga",86,9,2,2,2,59,51,51,51,"0","0","0"
"70",2015,"1",1,"Midwest","Northeastern","14",65,"Notre Dame",69,7,6,6,6,57,49,49,49,"0","0","0"
"71",2015,"1",3,"East","Northern Iowa","5",71,"Wyoming",54,55,46,46,46,13,7,7,7,"0","1","1"
"72",2015,"2",3,"East","Northern Iowa","5",53,"Louisville",66,55,46,46,46,53,48,48,48,"0","1","0"
"73",2015,"1",1,"Midwest","Notre Dame","3",69,"Northeastern",65,57,49,49,49,7,6,6,6,"0","1","1"
"74",2015,"2",1,"Midwest","Notre Dame","3",67,"Butler",64,57,49,49,49,40,38,38,38,"0","1","1"
"75",2015,"3",1,"Midwest","Notre Dame","3",81,"Wichita St.",70,57,49,49,49,57,52,52,52,"1","0","1"
"76",2015,"4",1,"Midwest","Notre Dame","3",66,"Kentucky",68,57,49,49,49,59,63,63,63,"0","0","0"
"77",2015,"1",2,"West","Ohio St.","10",75,"VCU",72,46,55,55,55,28,30,30,30,"0","1","1"
"78",2015,"2",2,"West","Ohio St.","10",58,"Arizona",73,46,55,55,55,59,57,57,57,"0","0","0"
"79",2015,"1",3,"East","Oklahoma","3",69,"Albany",60,48,54,54,54,8,5,5,5,"0","1","1"
"80",2015,"2",3,"East","Oklahoma","3",72,"Dayton",66,48,54,54,54,27,22,22,22,"0","1","1"
"81",2015,"3",3,"East","Oklahoma","3",58,"Michigan St.",62,48,54,54,54,53,47,47,47,"0","0","0"
"82",2015,"1",2,"West","Oklahoma St.","9",73,"Oregon",79,18,25,25,25,30,34,34,34,"0","0","0"
"83",2015,"1",2,"West","Oregon","8",79,"Oklahoma St.",73,30,34,34,34,18,25,25,25,"0","1","1"
"84",2015,"2",2,"West","Oregon","8",65,"Wisconsin",72,30,34,34,34,61,58,58,58,"0","0","0"
"85",2015,"1",3,"East","Providence","6",53,"Dayton",66,32,28,28,28,27,22,22,22,"0","1","0"
"86",2015,"1",1,"Midwest","Purdue","9",65,"Cincinnati",66,28,24,24,24,44,43,43,43,"0","0","0"
"87",2015,"1",4,"South","Robert Morris","16",56,"Duke",85,6,4,4,4,63,62,62,62,"0","0","0"
"88",2015,"1",4,"South","San Diego St.","8",76,"St. John's",64,46,44,44,44,24,33,33,33,"0","1","1"
"89",2015,"2",4,"South","San Diego St.","8",49,"Duke",68,46,44,44,44,63,62,62,62,"0","0","0"
"90",2015,"1",4,"South","SMU","6",59,"UCLA",60,26,29,29,29,30,19,19,19,"0","0","0"
"91",2015,"1",4,"South","St. John's","9",64,"San Diego St.",76,24,33,33,33,46,44,44,44,"0","0","0"
"92",2015,"1",4,"South","Stephen F. Austin","12",50,"Utah",57,19,21,21,21,53,50,50,50,"0","0","0"
"93",2015,"1",1,"Midwest","Texas","11",48,"Butler",56,29,36,36,36,40,38,38,38,"0","0","0"
"94",2015,"1",2,"West","Texas Southern","15",72,"Arizona",93,3,3,3,3,59,57,57,57,"0","0","0"
"95",2015,"1",4,"South","UAB","14",60,"Iowa St.",59,12,8,8,8,37,41,41,41,"0","0","1"
"96",2015,"2",4,"South","UAB","14",75,"UCLA",92,12,8,8,8,30,19,19,19,"0","0","0"
"97",2015,"1",3,"East","UC Irvine","13",55,"Louisville",57,18,12,12,12,53,48,48,48,"0","0","0"
"98",2015,"1",4,"South","UCLA","11",60,"SMU",59,30,19,19,19,26,29,29,29,"0","1","1"
"99",2015,"2",4,"South","UCLA","11",92,"UAB",75,30,19,19,19,12,8,8,8,"0","1","1"
"100",2015,"3",4,"South","UCLA","11",62,"Gonzaga",74,30,19,19,19,59,51,51,51,"0","0","0"
"101",2015,"1",4,"South","Utah","5",57,"Stephen F. Austin",50,53,50,50,50,19,21,21,21,"0","1","1"
"102",2015,"2",4,"South","Utah","5",75,"Georgetown",64,53,50,50,50,41,35,35,35,"0","1","1"
"103",2015,"3",4,"South","Utah","5",57,"Duke",63,53,50,50,50,63,62,62,62,"0","0","0"
"104",2015,"1",1,"Midwest","Valparaiso","13",62,"Maryland",65,20,18,18,18,36,31,31,31,"0","0","0"
"105",2015,"1",2,"West","VCU","7",72,"Ohio St.",75,28,30,30,30,46,55,55,55,"0","0","0"
"106",2015,"1",3,"East","Villanova","1",93,"Lafayette",52,60,61,61,61,10,15,15,15,"0","1","1"
"107",2015,"2",3,"East","Villanova","1",68,"North Carolina St.",71,60,61,61,61,38,23,23,23,"0","1","0"
"108",2015,"1",3,"East","Virginia","2",79,"Belmont",67,51,59,59,59,8,10,10,10,"0","1","1"
"109",2015,"2",3,"East","Virginia","2",54,"Michigan St.",60,51,59,59,59,53,47,47,47,"0","0","0"
"110",2015,"1",1,"Midwest","West Virginia","5",68,"Buffalo",62,44,39,39,39,18,14,14,14,"0","1","1"
"111",2015,"2",1,"Midwest","West Virginia","5",69,"Maryland",59,44,39,39,39,36,31,31,31,"0","1","1"
"112",2015,"3",1,"Midwest","West Virginia","5",39,"Kentucky",78,44,39,39,39,59,63,63,63,"0","0","0"
"113",2015,"1",1,"Midwest","Wichita St.","7",81,"Indiana",76,57,52,52,52,15,27,27,27,"0","1","1"
