year,round,reg_num,reg_name,team,seed,forest,seed_opp
2015,1,3,East,Louisville,4,53,5
2015,1,3,East,Michigan St.,7,53,2
2015,1,3,East,North Carolina St.,8,38,1
2015,1,3,East,Northern Iowa,5,55,4
2015,1,3,East,Oklahoma,3,48,6
2015,1,3,East,Providence,6,32,3
2015,1,3,East,Villanova,1,60,8
2015,1,3,East,Virginia,2,51,7
2015,1,1,Midwest,Butler,6,40,3
2015,1,1,Midwest,Cincinnati,8,44,1
2015,1,1,Midwest,Kansas,2,46,7
2015,1,1,Midwest,Kentucky,1,59,8
2015,1,1,Midwest,Maryland,4,36,5
2015,1,1,Midwest,Notre Dame,3,57,6
2015,1,1,Midwest,West Virginia,5,44,4
2015,1,1,Midwest,Wichita St.,7,57,2
2015,1,4,South,Duke,1,63,8
2015,1,4,South,Georgetown,4,41,5
2015,1,4,South,Gonzaga,2,59,7
2015,1,4,South,Iowa,7,42,2
2015,1,4,South,Iowa St.,3,37,11
2015,1,4,South,San Diego St.,8,46,1
2015,1,4,South,UCLA,11,30,3
2015,1,4,South,Utah,5,53,4
2015,1,2,West,Arizona,2,59,10
2015,1,2,West,Arkansas,5,38,4
2015,1,2,West,Baylor,3,43,6
2015,1,2,West,North Carolina,4,52,5
2015,1,2,West,Ohio St.,10,46,2
2015,1,2,West,Oregon,8,30,1
2015,1,2,West,Wisconsin,1,61,8
2015,1,2,West,Xavier,6,38,3
2016,1,3,East,Indiana,5,50,4
2016,1,3,East,Kentucky,4,54,5
2016,1,3,East,North Carolina,1,61,9
2016,1,3,East,Notre Dame,6,43,14
2016,1,3,East,Providence,9,32,1
2016,1,3,East,Stephen F. Austin,14,37,6
2016,1,3,East,Wisconsin,7,34,2
2016,1,3,East,Xavier,2,47,7
2016,1,4,Midwest,Butler,9,27,1
2016,1,4,Midwest,Gonzaga,11,57,3
2016,1,4,Midwest,Iowa St.,4,41,5
2016,1,4,Midwest,Michigan St.,2,51,10
2016,1,4,Midwest,Purdue,5,52,4
2016,1,4,Midwest,Syracuse,10,55,2
2016,1,4,Midwest,Utah,3,39,11
2016,1,4,Midwest,Virginia,1,59,9
2016,1,1,South,Connecticut,9,38,1
2016,1,1,South,Hawaii,13,37,5
2016,1,1,South,Iowa,7,39,2
2016,1,1,South,Kansas,1,60,9
2016,1,1,South,Maryland,5,46,13
2016,1,1,South,Miami FL,3,50,11
2016,1,1,South,Villanova,2,63,7
2016,1,1,South,Wichita St.,11,43,3
2016,1,2,West,Cincinnati,9,39,1
2016,1,2,West,Duke,4,42,12
2016,1,2,West,Northern Iowa,11,27,3
2016,1,2,West,Oklahoma,2,59,10
2016,1,2,West,Oregon,1,52,9
2016,1,2,West,Texas A&M,3,54,11
2016,1,2,West,VCU,10,37,2
2016,1,2,West,Yale,12,26,4
2017,1,1,East,Baylor,3,44,6
2017,1,1,East,Duke,2,50,7
2017,1,1,East,Florida,4,54,5
2017,1,1,East,SMU,6,51,3
2017,1,1,East,South Carolina,7,54,2
2017,1,1,East,Villanova,1,61,8
2017,1,1,East,Virginia,5,34,4
2017,1,1,East,Wisconsin,8,47,1
2017,1,3,Midwest,Iowa St.,5,41,4
2017,1,3,Midwest,Kansas,1,55,9
2017,1,3,Midwest,Louisville,2,49,7
2017,1,3,Midwest,Michigan,7,47,2
2017,1,3,Midwest,Michigan St.,9,32,1
2017,1,3,Midwest,Oregon,3,58,11
2017,1,3,Midwest,Purdue,4,50,5
2017,1,3,Midwest,Rhode Island,11,42,3
2017,1,4,South,Arkansas,8,27,1
2017,1,4,South,Butler,4,37,12
2017,1,4,South,Cincinnati,6,49,3
2017,1,4,South,Kentucky,2,60,10
2017,1,4,South,Middle Tennessee,12,34,4
2017,1,4,South,North Carolina,1,63,8
2017,1,4,South,UCLA,3,52,6
2017,1,4,South,Wichita St.,10,48,2
2017,1,2,West,Arizona,2,46,7
2017,1,2,West,Florida St.,3,37,11
2017,1,2,West,Gonzaga,1,60,8
2017,1,2,West,Northwestern,8,33,1
2017,1,2,West,Notre Dame,5,39,4
2017,1,2,West,Saint Mary's,7,55,2
2017,1,2,West,West Virginia,4,50,5
2017,1,2,West,Xavier,11,37,3
2018,1,3,East,Alabama,9,32,1
2018,1,3,East,Butler,10,40,2
2018,1,3,East,Florida,6,41,3
2018,1,3,East,Purdue,2,58,10
2018,1,3,East,Texas Tech,3,55,6
2018,1,3,East,Villanova,1,63,9
2018,1,3,East,West Virginia,5,49,4
2018,1,3,East,Wichita St.,4,16,5
2018,1,4,Midwest,Auburn,4,30,5
2018,1,4,Midwest,Clemson,5,48,4
2018,1,4,Midwest,Duke,2,59,7
2018,1,4,Midwest,Kansas,1,60,8
2018,1,4,Midwest,Michigan St.,3,52,11
2018,1,4,Midwest,Rhode Island,7,29,2
2018,1,4,Midwest,Seton Hall,8,32,1
2018,1,4,Midwest,Syracuse,11,48,3
2018,1,1,South,Buffalo,13,30,5
2018,1,1,South,Cincinnati,2,54,7
2018,1,1,South,Kansas St.,9,47,1
2018,1,1,South,Kentucky,5,42,13
2018,1,1,South,Loyola Chicago,11,55,3
2018,1,1,South,Nevada,7,45,2
2018,1,1,South,Tennessee,3,51,11
2018,1,1,South,Virginia,1,52,9
2018,1,2,West,Florida St.,9,44,1
2018,1,2,West,Gonzaga,4,59,5
2018,1,2,West,Houston,6,51,3
2018,1,2,West,Michigan,3,58,6
2018,1,2,West,North Carolina,2,38,7
2018,1,2,West,Ohio St.,5,52,4
2018,1,2,West,Texas A&M,7,45,2
2018,1,2,West,Xavier,1,36,9
2019,1,1,East,Duke,1,59,9
2019,1,1,East,Liberty,12,32,4
2019,1,1,East,Louisville,7,34,2
2019,1,1,East,LSU,3,48,6
2019,1,1,East,Maryland,6,33,3
2019,1,1,East,Michigan St.,2,61,7
2019,1,1,East,UCF,9,46,1
2019,1,1,East,Virginia Tech,4,54,12
2019,1,4,Midwest,Auburn,5,56,4
2019,1,4,Midwest,Houston,3,55,6
2019,1,4,Midwest,Iowa St.,6,34,3
2019,1,4,Midwest,Kansas,4,44,5
2019,1,4,Midwest,Kentucky,2,57,7
2019,1,4,Midwest,North Carolina,1,54,9
2019,1,4,Midwest,Washington,9,28,1
2019,1,4,Midwest,Wofford,7,34,2
2019,1,3,South,Cincinnati,7,39,2
2019,1,3,South,Kansas St.,4,41,12
2019,1,3,South,Oklahoma,9,36,1
2019,1,3,South,Oregon,12,45,4
2019,1,3,South,Purdue,3,57,6
