"","region","team","seed","team_opp","seed_opp","forest","lasso","ridge","net","forest_opp","lasso_opp","ridge_opp","net_opp","win_pred"
"1","West","Arizona","7","Rutgers",10,47,42,42,42,46,42,42,42,"1"
"2","Midwest","Auburn","5","Yale",12,31,30,30,30,20,14,14,14,"1"
"3","Midwest","Baylor","1","Boston University",16,59,63,63,63,8,2,2,2,"1"
"4","West","Butler","5","Cincinnati",12,52,41,41,41,22,21,21,21,"1"
"5","West","BYU","6","Richmond",11,36,50,50,50,30,38,38,38,"1"
"6","South","Creighton","3","Bradley",14,56,56,56,56,12,6,6,6,"1"
"7","East","Dayton","1","Siena",16,63,60,60,60,8,2,2,2,"1"
"8","East","Duke","2","Northern Kentucky",15,58,61,61,61,12,10,10,10,"1"
"9","South","Florida St.","2","Little Rock",15,53,59,59,59,6,5,5,5,"1"
"10","West","Gonzaga","1","Eastern Washington",16,61,54,54,54,9,8,8,8,"1"
"11","East","Houston","7","Indiana",10,53,44,44,44,25,21,21,21,"1"
"12","South","Kansas","1","NC Central",16,61,62,62,62,5,5,5,5,"1"
"13","Midwest","Kentucky","3","Belmont",14,39,39,39,39,19,19,19,19,"1"
"14","West","Louisville","4","Vermont",13,56,48,48,48,17,10,10,10,"1"
"15","South","LSU","8","Arizona St.",9,33,25,25,25,19,23,23,23,"1"
"16","Midwest","Maryland","4","Belmont",14,39,34,34,34,19,19,19,19,"1"
"17","South","Michigan","7","Marquette",10,46,50,50,50,18,12,12,12,"1"
"18","East","Michigan St.","3","UC Irvine",14,57,59,59,59,7,6,6,6,"1"
"19","East","Ohio St.","5","Stephen F. Austin",12,50,46,46,46,8,12,12,12,"1"
"20","East","Oregon","4","New Mexico St.",13,52,55,55,55,10,16,16,16,"1"
"21","South","Penn St.","6","Utah St.",11,45,54,54,54,38,28,28,28,"1"
"22","East","Providence","8","Oklahoma",9,38,45,45,45,27,28,28,28,"1"
"23","Midwest","Saint Mary's","9","Colorado",8,28,32,32,32,26,15,15,15,"1"
"24","West","San Diego St.","2","North Dakota St.",15,61,59,59,59,6,7,7,7,"1"
"25","West","Seton Hall","3","Hofstra",14,47,49,49,49,22,18,18,18,"1"
"26","Midwest","Texas Tech","10","Illinois",7,39,52,52,52,39,37,37,37,"1"
"27","West","USC","9","Florida",8,34,33,33,33,28,33,33,33,"1"
"28","Midwest","Villanova","2","Winthrop",15,48,55,55,55,6,0,0,0,"1"
"29","East","Virginia","6","East Tennessee St.",11,36,39,39,39,21,25,25,25,"1"
"30","South","West Virginia","5","Liberty",12,54,41,41,41,26,20,20,20,"1"
"31","South","Wisconsin","4","North Texas",13,46,50,50,50,20,28,28,28,"1"
"32","Midwest","Xavier","11","Iowa",6,35,35,35,35,28,33,33,33,"1"
