year,reg_num,reg_name,team,seed,forest,seed_opp
2015,3,East,Michigan St.,7,53,3
2015,3,East,Northern Iowa,5,55,1
2015,3,East,Oklahoma,3,48,7
2015,3,East,Villanova,1,60,5
2015,1,Midwest,Kentucky,1,59,5
2015,1,Midwest,Notre Dame,3,57,7
2015,1,Midwest,West Virginia,5,44,1
2015,1,Midwest,Wichita St.,7,57,3
2015,4,South,Duke,1,63,5
2015,4,South,Gonzaga,2,59,3
2015,4,South,Iowa St.,3,37,2
2015,4,South,Utah,5,53,1
2015,2,West,Arizona,2,59,3
2015,2,West,Baylor,3,43,2
2015,2,West,North Carolina,4,52,1
2015,2,West,Wisconsin,1,61,4
2016,3,East,Kentucky,4,54,1
2016,3,East,North Carolina,1,61,4
2016,3,East,Notre Dame,6,43,2
2016,3,East,Xavier,2,47,6
2016,4,Midwest,Gonzaga,11,57,10
2016,4,Midwest,Purdue,5,52,1
2016,4,Midwest,Syracuse,10,55,11
2016,4,Midwest,Virginia,1,59,5
2016,1,South,Kansas,1,60,5
2016,1,South,Maryland,5,46,1
2016,1,South,Miami FL,3,50,2
2016,1,South,Villanova,2,63,3
2016,2,West,Duke,4,42,1
2016,2,West,Oklahoma,2,59,3
2016,2,West,Oregon,1,52,4
2016,2,West,Texas A&M,3,54,2
2017,1,East,Florida,4,54,1
2017,1,East,SMU,6,51,7
2017,1,East,South Carolina,7,54,6
2017,1,East,Villanova,1,61,4
2017,3,Midwest,Kansas,1,55,4
2017,3,Midwest,Louisville,2,49,3
2017,3,Midwest,Oregon,3,58,2
2017,3,Midwest,Purdue,4,50,1
2017,4,South,Butler,4,37,1
2017,4,South,Kentucky,2,60,3
2017,4,South,North Carolina,1,63,4
2017,4,South,UCLA,3,52,2
2017,2,West,Gonzaga,1,60,4
2017,2,West,Saint Mary's,7,55,11
2017,2,West,West Virginia,4,50,1
2017,2,West,Xavier,11,37,7
2018,3,East,Purdue,2,58,3
2018,3,East,Texas Tech,3,55,2
2018,3,East,Villanova,1,63,5
2018,3,East,West Virginia,5,49,1
2018,4,Midwest,Clemson,5,48,1
2018,4,Midwest,Duke,2,59,3
2018,4,Midwest,Kansas,1,60,5
2018,4,Midwest,Michigan St.,3,52,2
2018,1,South,Cincinnati,2,54,11
2018,1,South,Kentucky,5,42,1
2018,1,South,Loyola Chicago,11,55,2
2018,1,South,Virginia,1,52,5
2018,2,West,Florida St.,9,44,7
2018,2,West,Gonzaga,4,59,3
2018,2,West,Michigan,3,58,4
2018,2,West,Texas A&M,7,45,9
2019,1,East,Duke,1,59,4
2019,1,East,LSU,3,48,2
2019,1,East,Michigan St.,2,61,3
2019,1,East,Virginia Tech,4,54,1
2019,4,Midwest,Auburn,5,56,1
2019,4,Midwest,Houston,3,55,2
2019,4,Midwest,Kentucky,2,57,3
2019,4,Midwest,North Carolina,1,54,5
2019,3,South,Oregon,12,45,1
2019,3,South,Purdue,3,57,2
2019,3,South,Tennessee,2,56,3
2019,3,South,Virginia,1,63,12
2019,2,West,Florida St.,4,46,1
2019,2,West,Gonzaga,1,61,4
2019,2,West,Michigan,2,53,3
2019,2,West,Texas Tech,3,61,2
