"","year","team","forest","lasso","ridge","net"
"1",2015,"Albany",5,5,5,5
"2",2015,"Arizona",57,57,57,57
"3",2015,"Arkansas",36,40,40,40
"4",2015,"Baylor",42,56,56,56
"5",2015,"Belmont",11,10,10,10
"6",2015,"Buffalo",21,14,14,14
"7",2015,"Butler",37,38,38,38
"8",2015,"Cincinnati",45,43,43,43
"9",2015,"Coastal Carolina",6,1,1,1
"10",2015,"Davidson",28,37,37,37
"11",2015,"Dayton",28,22,22,22
"12",2015,"Duke",63,62,62,62
"13",2015,"Eastern Washington",9,13,13,13
"14",2015,"Georgetown",40,35,35,35
"15",2015,"Georgia",22,20,20,20
"16",2015,"Georgia St.",28,26,26,26
"17",2015,"Gonzaga",59,51,51,51
"18",2015,"Hampton",0,0,0,0
"19",2015,"Harvard",8,11,11,11
"20",2015,"Indiana",20,27,27,27
"21",2015,"Iowa",43,45,45,45
"22",2015,"Iowa St.",36,41,41,41
"23",2015,"Kansas",45,53,53,53
"24",2015,"Kentucky",60,63,63,63
"25",2015,"Lafayette",3,15,15,15
"26",2015,"Louisville",51,48,48,48
"27",2015,"LSU",29,42,42,42
"28",2015,"Maryland",29,31,31,31
"29",2015,"Michigan St.",55,47,47,47
"30",2015,"Mississippi",20,17,17,17
"31",2015,"New Mexico St.",9,9,9,9
"32",2015,"North Carolina",52,60,60,60
"33",2015,"North Carolina St.",40,23,23,23
"34",2015,"North Dakota St.",2,2,2,2
"35",2015,"Northeastern",7,6,6,6
"36",2015,"Northern Iowa",52,46,46,46
"37",2015,"Notre Dame",56,49,49,49
"38",2015,"Ohio St.",48,55,55,55
"39",2015,"Oklahoma",48,54,54,54
"40",2015,"Oklahoma St.",18,25,25,25
"41",2015,"Oregon",33,34,34,34
"42",2015,"Providence",28,28,28,28
"43",2015,"Purdue",27,24,24,24
"44",2015,"Robert Morris",3,4,4,4
"45",2015,"San Diego St.",47,44,44,44
"46",2015,"SMU",26,29,29,29
"47",2015,"St. John's",26,33,33,33
"48",2015,"Stephen F. Austin",17,21,21,21
"49",2015,"Texas",28,36,36,36
"50",2015,"Texas Southern",6,3,3,3
"51",2015,"UAB",12,8,8,8
"52",2015,"UC Irvine",9,12,12,12
"53",2015,"UCLA",29,19,19,19
"54",2015,"Utah",54,50,50,50
"55",2015,"Valparaiso",16,18,18,18
