year,team,forest,lasso,ridge,net
2015,Albany,8,5,5,5
2015,Arizona,59,57,57,57
2015,Arkansas,38,40,40,40
2015,Baylor,43,56,56,56
2015,Belmont,8,10,10,10
2015,Buffalo,18,14,14,14
2015,Butler,40,38,38,38
2015,Cincinnati,44,43,43,43
2015,Coastal Carolina,8,1,1,1
2015,Davidson,26,37,37,37
2015,Dayton,27,22,22,22
2015,Duke,63,62,62,62
2015,Eastern Washington,14,13,13,13
2015,Georgetown,41,35,35,35
2015,Georgia,27,20,20,20
2015,Georgia St.,31,26,26,26
2015,Gonzaga,59,51,51,51
2015,Hampton,3,0,0,0
2015,Harvard,17,11,11,11
2015,Indiana,15,27,27,27
2015,Iowa,42,45,45,45
2015,Iowa St.,37,41,41,41
2015,Kansas,46,53,53,53
2015,Kentucky,59,63,63,63
2015,Lafayette,10,15,15,15
2015,Louisville,53,48,48,48
2015,LSU,31,42,42,42
2015,Maryland,36,31,31,31
2015,Michigan St.,53,47,47,47
2015,Mississippi,18,17,17,17
2015,New Mexico St.,14,9,9,9
2015,North Carolina,52,60,60,60
2015,North Carolina St.,38,23,23,23
2015,North Dakota St.,9,2,2,2
2015,Northeastern,7,6,6,6
2015,Northern Iowa,55,46,46,46
2015,Notre Dame,57,49,49,49
2015,Ohio St.,46,55,55,55
2015,Oklahoma,48,54,54,54
2015,Oklahoma St.,18,25,25,25
2015,Oregon,30,34,34,34
2015,Providence,32,28,28,28
2015,Purdue,28,24,24,24
2015,Robert Morris,6,4,4,4
2015,San Diego St.,46,44,44,44
2015,SMU,26,29,29,29
2015,St. John's,24,33,33,33
2015,Stephen F. Austin,19,21,21,21
2015,Texas,29,36,36,36
2015,Texas Southern,3,3,3,3
2015,UAB,12,8,8,8
2015,UC Irvine,18,12,12,12
2015,UCLA,30,19,19,19
2015,Utah,53,50,50,50
2015,Valparaiso,20,18,18,18
2015,VCU,28,30,30,30
2015,Villanova,60,61,61,61
2015,Virginia,51,59,59,59
2015,West Virginia,44,39,39,39
2015,Wichita St.,57,52,52,52
2015,Wisconsin,61,58,58,58
2015,Wofford,14,16,16,16
2015,Wyoming,13,7,7,7
2015,Xavier,38,32,32,32
2016,Arizona,39,30,30,30
2016,Arkansas Little Rock,34,33,33,33
2016,Austin Peay,4,1,1,1
2016,Baylor,20,25,25,25
2016,Buffalo,4,2,2,2
2016,Butler,27,23,23,23
2016,Cal St. Bakersfield,24,16,16,16
2016,California,37,35,35,35
2016,Chattanooga,11,12,12,12
2016,Cincinnati,39,42,42,42
2016,Colorado,18,15,15,15
2016,Connecticut,38,48,48,48
2016,Dayton,27,29,29,29
2016,Duke,42,38,38,38
2016,Florida Gulf Coast,6,3,3,3
2016,Fresno St.,14,10,10,10
2016,Gonzaga,57,54,54,54
2016,Green Bay,8,6,6,6
2016,Hampton,4,0,0,0
2016,Hawaii,37,26,26,26
2016,Holy Cross,3,4,4,4
2016,Indiana,50,47,47,47
2016,Iona,13,11,11,11
2016,Iowa,39,43,43,43
2016,Iowa St.,41,45,45,45
2016,Kansas,60,61,61,61
2016,Kentucky,54,59,59,59
2016,Maryland,46,40,40,40
2016,Miami FL,50,49,49,49
2016,Michigan,20,19,19,19
2016,Michigan St.,51,50,50,50
2016,Middle Tennessee,14,8,8,8
2016,North Carolina,61,60,60,60
2016,Northern Iowa,27,24,24,24
2016,Notre Dame,43,28,28,28
2016,Oklahoma,59,58,58,58
2016,Oregon,52,53,53,53
2016,Oregon St.,21,20,20,20
2016,Pittsburgh,25,27,27,27
2016,Providence,32,36,36,36
2016,Purdue,52,51,51,51
2016,Saint Joseph's,37,31,31,31
2016,Seton Hall,42,52,52,52
2016,South Dakota St.,17,9,9,9
2016,Stephen F. Austin,37,44,44,44
2016,Stony Brook,15,13,13,13
2016,Syracuse,55,55,55,55
2016,Temple,15,17,17,17
2016,Texas,25,37,37,37
2016,Texas A&M,54,57,57,57
2016,Texas Tech,16,18,18,18
2016,UNC Asheville,11,7,7,7
2016,UNC Wilmington,19,14,14,14
2016,USC,23,21,21,21
2016,Utah,39,34,34,34
2016,VCU,37,41,41,41
2016,Villanova,63,63,63,63
2016,Virginia,59,62,62,62
2016,Weber St.,10,5,5,5
2016,West Virginia,37,56,56,56
2016,Wichita St.,43,39,39,39
2016,Wisconsin,34,32,32,32
2016,Xavier,47,46,46,46
2016,Yale,26,22,22,22
